Date;CountryName;Covid;Corona;Sum
2019-12-22;United Kingdom;0;0;0.00
2019-12-29;United Kingdom;0;0;0.00
2020-01-05;United Kingdom;0;0;0.00
2020-01-12;United Kingdom;0;0;0.00
2020-01-19;United Kingdom;0;2;1.30
2020-01-26;United Kingdom;0;10;6.49
2020-02-02;United Kingdom;0;7;4.55
2020-02-09;United Kingdom;0;9;5.84
2020-02-16;United Kingdom;0;5;3.25
2020-02-23;United Kingdom;2;19;13.64
2020-03-01;United Kingdom;6;33;25.32
2020-03-08;United Kingdom;22;70;59.74
2020-03-15;United Kingdom;54;100;100.00
2020-03-22;United Kingdom;68;79;95.45
2020-03-29;United Kingdom;54;46;64.94
2020-04-05;United Kingdom;51;36;56.49
2020-04-12;United Kingdom;41;24;42.21
2020-04-19;United Kingdom;39;20;38.31
2020-04-26;United Kingdom;39;17;36.36
2020-05-03;United Kingdom;38;15;34.42
2020-05-10;United Kingdom;45;14;38.31
2020-05-17;United Kingdom;39;12;33.12
2020-05-24;United Kingdom;37;10;30.52
2020-05-31;United Kingdom;36;10;29.87
2020-06-07;United Kingdom;34;8;27.27
2020-06-14;United Kingdom;36;8;28.57
2020-06-21;United Kingdom;36;8;28.57
2020-06-28;United Kingdom;41;7;31.17
2020-07-05;United Kingdom;36;6;27.27
2020-07-12;United Kingdom;38;6;28.57
2020-07-19;United Kingdom;36;6;27.27
2020-07-26;United Kingdom;43;7;32.47
2020-08-02;United Kingdom;41;6;30.52
2020-08-09;United Kingdom;41;6;30.52
2020-08-16;United Kingdom;41;5;29.87
2020-08-23;United Kingdom;39;5;28.57
2020-08-30;United Kingdom;44;5;31.82
2020-09-06;United Kingdom;71;8;51.30
2020-09-13;United Kingdom;81;8;57.79
2020-09-20;United Kingdom;86;8;61.04
2020-09-27;United Kingdom;70;7;50.00
2020-10-04;United Kingdom;71;7;50.65
2020-10-11;United Kingdom;94;7;65.58
2020-10-18;United Kingdom;73;6;51.30
2020-10-25;United Kingdom;74;6;51.95
2020-11-01;United Kingdom;61;5;42.86
2020-11-08;United Kingdom;60;5;42.21
2020-11-15;United Kingdom;56;4;38.96
2020-11-22;United Kingdom;65;4;44.81
2020-11-29;United Kingdom;58;4;40.26
2020-12-06;United Kingdom;65;4;44.81
2020-12-13;United Kingdom;92;5;62.99
2019-12-22;France;0;0;0.00
2019-12-29;France;0;0;0.00
2020-01-05;France;0;0;0.00
2020-01-12;France;0;0;0.00
2020-01-19;France;0;1;0.98
2020-01-26;France;0;3;2.94
2020-02-02;France;0;2;1.96
2020-02-09;France;0;1;0.98
2020-02-16;France;0;1;0.98
2020-02-23;France;2;9;10.78
2020-03-01;France;4;13;16.67
2020-03-08;France;12;22;33.33
2020-03-15;France;33;30;61.76
2020-03-22;France;34;17;50.00
2020-03-29;France;31;11;41.18
2020-04-05;France;30;8;37.25
2020-04-12;France;29;6;34.31
2020-04-19;France;27;5;31.37
2020-04-26;France;29;4;32.35
2020-05-03;France;30;4;33.33
2020-05-10;France;26;3;28.43
2020-05-17;France;20;3;22.55
2020-05-24;France;19;2;20.59
2020-05-31;France;17;2;18.63
2020-06-07;France;14;1;14.71
2020-06-14;France;15;1;15.69
2020-06-21;France;16;2;17.65
2020-06-28;France;14;1;14.71
2020-07-05;France;16;2;17.65
2020-07-12;France;21;2;22.55
2020-07-19;France;23;2;24.51
2020-07-26;France;22;2;23.53
2020-08-02;France;19;2;20.59
2020-08-09;France;21;2;22.55
2020-08-16;France;23;2;24.51
2020-08-23;France;27;2;28.43
2020-08-30;France;27;2;28.43
2020-09-06;France;37;2;38.24
2020-09-13;France;35;2;36.27
2020-09-20;France;37;1;37.25
2020-09-27;France;28;1;28.43
2020-10-04;France;32;1;32.35
2020-10-11;France;40;1;40.20
2020-10-18;France;50;1;50.00
2020-10-25;France;100;2;100.00
2020-11-01;France;81;1;80.39
2020-11-08;France;70;1;69.61
2020-11-15;France;56;1;55.88
2020-11-22;France;54;1;53.92
2020-11-29;France;52;1;51.96
2020-12-06;France;49;1;49.02
2020-12-13;France;41;1;41.18
2019-12-22;Sweden;0;0;0.00
2019-12-29;Sweden;0;0;0.00
2020-01-05;Sweden;0;0;0.00
2020-01-12;Sweden;0;0;0.00
2020-01-19;Sweden;0;1;0.95
2020-01-26;Sweden;0;7;6.67
2020-02-02;Sweden;0;6;5.71
2020-02-09;Sweden;0;5;4.76
2020-02-16;Sweden;0;4;3.81
2020-02-23;Sweden;1;24;23.81
2020-03-01;Sweden;2;38;38.10
2020-03-08;Sweden;5;100;100.00
2020-03-15;Sweden;6;96;97.14
2020-03-22;Sweden;8;76;80.00
2020-03-29;Sweden;8;64;68.57
2020-04-05;Sweden;8;47;52.38
2020-04-12;Sweden;8;44;49.52
2020-04-19;Sweden;7;35;40.00
2020-04-26;Sweden;7;30;35.24
2020-05-03;Sweden;7;27;32.38
2020-05-10;Sweden;6;23;27.62
2020-05-17;Sweden;6;20;24.76
2020-05-24;Sweden;6;19;23.81
2020-05-31;Sweden;6;19;23.81
2020-06-07;Sweden;7;19;24.76
2020-06-14;Sweden;7;20;25.71
2020-06-21;Sweden;7;19;24.76
2020-06-28;Sweden;7;16;21.90
2020-07-05;Sweden;6;16;20.95
2020-07-12;Sweden;6;15;20.00
2020-07-19;Sweden;5;13;17.14
2020-07-26;Sweden;5;14;18.10
2020-08-02;Sweden;5;13;17.14
2020-08-09;Sweden;5;14;18.10
2020-08-16;Sweden;6;13;18.10
2020-08-23;Sweden;5;13;17.14
2020-08-30;Sweden;6;13;18.10
2020-09-06;Sweden;6;13;18.10
2020-09-13;Sweden;5;11;15.24
2020-09-20;Sweden;6;12;17.14
2020-09-27;Sweden;6;12;17.14
2020-10-04;Sweden;7;13;19.05
2020-10-11;Sweden;7;14;20.00
2020-10-18;Sweden;8;16;22.86
2020-10-25;Sweden;11;21;30.48
2020-11-01;Sweden;13;24;35.24
2020-11-08;Sweden;15;26;39.05
2020-11-15;Sweden;15;28;40.95
2020-11-22;Sweden;11;20;29.52
2020-11-29;Sweden;11;19;28.57
2020-12-06;Sweden;12;20;30.48
2020-12-13;Sweden;15;24;37.14
2019-12-22;Italy;0;2;1.89
2019-12-29;Italy;0;2;1.89
2020-01-05;Italy;0;1;0.94
2020-01-12;Italy;0;1;0.94
2020-01-19;Italy;0;3;2.83
2020-01-26;Italy;0;14;13.21
2020-02-02;Italy;0;7;6.60
2020-02-09;Italy;0;7;6.60
2020-02-16;Italy;1;25;24.53
2020-02-23;Italy;4;87;85.85
2020-03-01;Italy;7;54;57.55
2020-03-08;Italy;22;74;90.57
2020-03-15;Italy;32;48;75.47
2020-03-22;Italy;34;33;63.21
2020-03-29;Italy;33;22;51.89
2020-04-05;Italy;31;18;46.23
2020-04-12;Italy;32;15;44.34
2020-04-19;Italy;32;12;41.51
2020-04-26;Italy;35;10;42.45
2020-05-03;Italy;37;9;43.40
2020-05-10;Italy;33;7;37.74
2020-05-17;Italy;33;6;36.79
2020-05-24;Italy;31;5;33.96
2020-05-31;Italy;25;5;28.30
2020-06-07;Italy;24;6;28.30
2020-06-14;Italy;24;4;26.42
2020-06-21;Italy;24;4;26.42
2020-06-28;Italy;21;4;23.58
2020-07-05;Italy;23;4;25.47
2020-07-12;Italy;24;4;26.42
2020-07-19;Italy;26;4;28.30
2020-07-26;Italy;30;5;33.02
2020-08-02;Italy;29;4;31.13
2020-08-09;Italy;41;5;43.40
2020-08-16;Italy;51;7;54.72
2020-08-23;Italy;51;6;53.77
2020-08-30;Italy;40;5;42.45
2020-09-06;Italy;37;4;38.68
2020-09-13;Italy;34;5;36.79
2020-09-20;Italy;33;5;35.85
2020-09-27;Italy;40;5;42.45
2020-10-04;Italy;58;5;59.43
2020-10-11;Italy;78;6;79.25
2020-10-18;Italy;95;8;97.17
2020-10-25;Italy;100;6;100.00
2020-11-01;Italy;97;5;96.23
2020-11-08;Italy;99;4;97.17
2020-11-15;Italy;73;5;73.58
2020-11-22;Italy;56;5;57.55
2020-11-29;Italy;52;4;52.83
2020-12-06;Italy;44;3;44.34
2020-12-13;Italy;49;3;49.06
2019-12-22;Spain;0;2;1.89
2019-12-29;Spain;0;2;1.89
2020-01-05;Spain;0;2;1.89
2020-01-12;Spain;0;2;1.89
2020-01-19;Spain;0;4;3.77
2020-01-26;Spain;0;9;8.49
2020-02-02;Spain;0;7;6.60
2020-02-09;Spain;0;7;6.60
2020-02-16;Spain;0;6;5.66
2020-02-23;Spain;3;26;27.36
2020-03-01;Spain;3;21;22.64
2020-03-08;Spain;24;66;84.91
2020-03-15;Spain;48;56;98.11
2020-03-22;Spain;53;36;83.96
2020-03-29;Spain;53;25;73.58
2020-04-05;Spain;53;19;67.92
2020-04-12;Spain;55;15;66.04
2020-04-19;Spain;53;12;61.32
2020-04-26;Spain;56;11;63.21
2020-05-03;Spain;57;10;63.21
2020-05-10;Spain;57;9;62.26
2020-05-17;Spain;53;8;57.55
2020-05-24;Spain;49;6;51.89
2020-05-31;Spain;42;5;44.34
2020-06-07;Spain;35;5;37.74
2020-06-14;Spain;36;5;38.68
2020-06-21;Spain;38;5;40.57
2020-06-28;Spain;35;4;36.79
2020-07-05;Spain;40;5;42.45
2020-07-12;Spain;57;7;60.38
2020-07-19;Spain;59;8;63.21
2020-07-26;Spain;66;9;70.75
2020-08-02;Spain;63;8;66.98
2020-08-09;Spain;85;9;88.68
2020-08-16;Spain;85;8;87.74
2020-08-23;Spain;84;7;85.85
2020-08-30;Spain;76;6;77.36
2020-09-06;Spain;68;5;68.87
2020-09-13;Spain;71;5;71.70
2020-09-20;Spain;74;5;74.53
2020-09-27;Spain;68;4;67.92
2020-10-04;Spain;62;5;63.21
2020-10-11;Spain;69;5;69.81
2020-10-18;Spain;82;6;83.02
2020-10-25;Spain;100;6;100.00
2020-11-01;Spain;81;5;81.13
2020-11-08;Spain;85;6;85.85
2020-11-15;Spain;65;5;66.04
2020-11-22;Spain;53;5;54.72
2020-11-29;Spain;53;5;54.72
2020-12-06;Spain;62;6;64.15
2020-12-13;Spain;72;6;73.58
2019-12-22;Poland;0;0;0.00
2019-12-29;Poland;0;0;0.00
2020-01-05;Poland;0;0;0.00
2020-01-12;Poland;0;0;0.00
2020-01-19;Poland;0;1;0.96
2020-01-26;Poland;0;3;2.88
2020-02-02;Poland;0;2;1.92
2020-02-09;Poland;0;1;0.96
2020-02-16;Poland;0;1;0.96
2020-02-23;Poland;2;6;7.69
2020-03-01;Poland;3;6;8.65
2020-03-08;Poland;13;16;27.88
2020-03-15;Poland;19;11;28.85
2020-03-22;Poland;21;8;27.88
2020-03-29;Poland;22;6;26.92
2020-04-05;Poland;22;6;26.92
2020-04-12;Poland;19;4;22.12
2020-04-19;Poland;20;3;22.12
2020-04-26;Poland;18;3;20.19
2020-05-03;Poland;18;2;19.23
2020-05-10;Poland;17;2;18.27
2020-05-17;Poland;17;2;18.27
2020-05-24;Poland;17;2;18.27
2020-05-31;Poland;16;2;17.31
2020-06-07;Poland;16;2;17.31
2020-06-14;Poland;17;2;18.27
2020-06-21;Poland;16;1;16.35
2020-06-28;Poland;16;2;17.31
2020-07-05;Poland;15;2;16.35
2020-07-12;Poland;17;2;18.27
2020-07-19;Poland;23;2;24.04
2020-07-26;Poland;29;3;30.77
2020-08-02;Poland;35;3;36.54
2020-08-09;Poland;35;3;36.54
2020-08-16;Poland;33;2;33.65
2020-08-23;Poland;35;2;35.58
2020-08-30;Poland;26;2;26.92
2020-09-06;Poland;21;2;22.12
2020-09-13;Poland;22;2;23.08
2020-09-20;Poland;26;2;26.92
2020-09-27;Poland;42;2;42.31
2020-10-04;Poland;65;3;65.38
2020-10-11;Poland;79;4;79.81
2020-10-18;Poland;100;4;100.00
2020-10-25;Poland;98;3;97.12
2020-11-01;Poland;92;2;90.38
2020-11-08;Poland;72;2;71.15
2020-11-15;Poland;57;2;56.73
2020-11-22;Poland;50;1;49.04
2020-11-29;Poland;43;1;42.31
2020-12-06;Poland;41;1;40.38
2020-12-13;Poland;51;2;50.96
2019-12-22;Germany;0;0;0.00
2019-12-29;Germany;0;0;0.00
2020-01-05;Germany;0;0;0.00
2020-01-12;Germany;0;0;0.00
2020-01-19;Germany;0;0;0.00
2020-01-26;Germany;0;3;2.94
2020-02-02;Germany;0;2;1.96
2020-02-09;Germany;0;2;1.96
2020-02-16;Germany;0;1;0.98
2020-02-23;Germany;0;17;16.67
2020-03-01;Germany;0;25;24.51
2020-03-08;Germany;1;65;64.71
2020-03-15;Germany;2;100;100.00
2020-03-22;Germany;2;71;71.57
2020-03-29;Germany;2;53;53.92
2020-04-05;Germany;2;44;45.10
2020-04-12;Germany;1;45;45.10
2020-04-19;Germany;1;35;35.29
2020-04-26;Germany;1;32;32.35
2020-05-03;Germany;1;36;36.27
2020-05-10;Germany;1;30;30.39
2020-05-17;Germany;1;25;25.49
2020-05-24;Germany;1;24;24.51
2020-05-31;Germany;1;22;22.55
2020-06-07;Germany;1;20;20.59
2020-06-14;Germany;1;23;23.53
2020-06-21;Germany;1;21;21.57
2020-06-28;Germany;1;18;18.63
2020-07-05;Germany;1;18;18.63
2020-07-12;Germany;1;18;18.63
2020-07-19;Germany;1;18;18.63
2020-07-26;Germany;1;22;22.55
2020-08-02;Germany;1;20;20.59
2020-08-09;Germany;1;21;21.57
2020-08-16;Germany;1;23;23.53
2020-08-23;Germany;1;23;23.53
2020-08-30;Germany;1;18;18.63
2020-09-06;Germany;1;17;17.65
2020-09-13;Germany;1;19;19.61
2020-09-20;Germany;1;21;21.57
2020-09-27;Germany;1;22;22.55
2020-10-04;Germany;1;30;30.39
2020-10-11;Germany;1;46;46.08
2020-10-18;Germany;2;53;53.92
2020-10-25;Germany;2;59;59.80
2020-11-01;Germany;1;34;34.31
2020-11-08;Germany;1;31;31.37
2020-11-15;Germany;1;31;31.37
2020-11-22;Germany;1;30;30.39
2020-11-29;Germany;1;27;27.45
2020-12-06;Germany;1;41;41.18
2020-12-13;Germany;2;45;46.08
2019-12-22;Belgium;0;0;0.00
2019-12-29;Belgium;0;0;0.00
2020-01-05;Belgium;0;0;0.00
2020-01-12;Belgium;0;0;0.00
2020-01-19;Belgium;0;1;0.90
2020-01-26;Belgium;0;3;2.70
2020-02-02;Belgium;0;3;2.70
2020-02-09;Belgium;0;2;1.80
2020-02-16;Belgium;0;2;1.80
2020-02-23;Belgium;1;13;12.61
2020-03-01;Belgium;2;29;27.93
2020-03-08;Belgium;5;73;70.27
2020-03-15;Belgium;11;100;100.00
2020-03-22;Belgium;12;71;74.77
2020-03-29;Belgium;11;53;57.66
2020-04-05;Belgium;11;41;46.85
2020-04-12;Belgium;10;38;43.24
2020-04-19;Belgium;10;34;39.64
2020-04-26;Belgium;9;29;34.23
2020-05-03;Belgium;9;29;34.23
2020-05-10;Belgium;9;25;30.63
2020-05-17;Belgium;7;20;24.32
2020-05-24;Belgium;7;18;22.52
2020-05-31;Belgium;7;19;23.42
2020-06-07;Belgium;7;16;20.72
2020-06-14;Belgium;7;15;19.82
2020-06-21;Belgium;7;16;20.72
2020-06-28;Belgium;7;14;18.92
2020-07-05;Belgium;8;18;23.42
2020-07-12;Belgium;10;23;29.73
2020-07-19;Belgium;14;30;39.64
2020-07-26;Belgium;19;39;52.25
2020-08-02;Belgium;14;25;35.14
2020-08-09;Belgium;10;19;26.13
2020-08-16;Belgium;11;19;27.03
2020-08-23;Belgium;12;20;28.83
2020-08-30;Belgium;11;18;26.13
2020-09-06;Belgium;14;18;28.83
2020-09-13;Belgium;14;21;31.53
2020-09-20;Belgium;13;17;27.03
2020-09-27;Belgium;12;17;26.13
2020-10-04;Belgium;19;22;36.94
2020-10-11;Belgium;26;31;51.35
2020-10-18;Belgium;29;28;51.35
2020-10-25;Belgium;29;35;57.66
2020-11-01;Belgium;17;23;36.04
2020-11-08;Belgium;12;16;25.23
2020-11-15;Belgium;11;15;23.42
2020-11-22;Belgium;12;15;24.32
2020-11-29;Belgium;10;14;21.62
2020-12-06;Belgium;11;16;24.32
2020-12-13;Belgium;12;18;27.03
2019-12-22;Netherlands;0;0;0.00
2019-12-29;Netherlands;0;0;0.00
2020-01-05;Netherlands;0;0;0.00
2020-01-12;Netherlands;0;0;0.00
2020-01-19;Netherlands;0;1;0.98
2020-01-26;Netherlands;0;4;3.92
2020-02-02;Netherlands;0;3;2.94
2020-02-09;Netherlands;0;2;1.96
2020-02-16;Netherlands;0;2;1.96
2020-02-23;Netherlands;0;19;18.63
2020-03-01;Netherlands;1;32;32.35
2020-03-08;Netherlands;1;75;74.51
2020-03-15;Netherlands;2;100;100.00
2020-03-22;Netherlands;2;71;71.57
2020-03-29;Netherlands;2;48;49.02
2020-04-05;Netherlands;2;36;37.25
2020-04-12;Netherlands;2;33;34.31
2020-04-19;Netherlands;2;29;30.39
2020-04-26;Netherlands;2;24;25.49
2020-05-03;Netherlands;2;25;26.47
2020-05-10;Netherlands;2;23;24.51
2020-05-17;Netherlands;2;21;22.55
2020-05-24;Netherlands;1;19;19.61
2020-05-31;Netherlands;1;19;19.61
2020-06-07;Netherlands;1;18;18.63
2020-06-14;Netherlands;2;17;18.63
2020-06-21;Netherlands;2;17;18.63
2020-06-28;Netherlands;2;15;16.67
2020-07-05;Netherlands;2;17;18.63
2020-07-12;Netherlands;2;18;19.61
2020-07-19;Netherlands;2;25;26.47
2020-07-26;Netherlands;2;20;21.57
2020-08-02;Netherlands;2;20;21.57
2020-08-09;Netherlands;2;18;19.61
2020-08-16;Netherlands;2;21;22.55
2020-08-23;Netherlands;2;18;19.61
2020-08-30;Netherlands;2;16;17.65
2020-09-06;Netherlands;2;19;20.59
2020-09-13;Netherlands;2;22;23.53
2020-09-20;Netherlands;2;25;26.47
2020-09-27;Netherlands;3;30;32.35
2020-10-04;Netherlands;3;28;30.39
2020-10-11;Netherlands;3;39;41.18
2020-10-18;Netherlands;2;27;28.43
2020-10-25;Netherlands;2;25;26.47
2020-11-01;Netherlands;2;24;25.49
2020-11-08;Netherlands;2;16;17.65
2020-11-15;Netherlands;2;17;18.63
2020-11-22;Netherlands;2;14;15.69
2020-11-29;Netherlands;2;15;16.67
2020-12-06;Netherlands;2;19;20.59
2020-12-13;Netherlands;3;37;39.22
